COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
981.0,22265.0,1961.0,346.0,59.0,2646.0
454.0,18729.0,831.0,140.0,22.0,1166.0
233.0,7510.0,514.0,65.0,39.0,720.0
797.0,23079.0,1565.0,232.0,46.0,2170.0
914.0,27385.0,1806.0,294.0,110.0,2525.0
1408.0,45395.0,2701.0,460.0,145.0,3787.0
783.0,21357.0,1339.0,216.0,53.0,1957.0
521.0,14673.0,1086.0,171.0,29.0,1461.0
765.0,29498.0,1862.0,283.0,76.0,2409.0
130.0,4877.0,280.0,38.0,21.0,392.0
290.0,8031.0,548.0,83.0,23.0,777.0
280.0,13057.0,1001.0,167.0,36.0,1149.0
209.0,6300.0,360.0,61.0,28.0,535.0
1083.0,33716.0,1896.0,340.0,68.0,2703.0
284.0,8997.0,650.0,149.0,29.0,811.0
1757.0,48393.0,3886.0,521.0,135.0,5249.0
1548.0,47403.0,3265.0,600.0,92.0,4296.0
95.0,3235.0,246.0,37.0,22.0,324.0
1781.0,55741.0,3012.0,580.0,131.0,4335.0
709.0,18564.0,1492.0,231.0,78.0,2039.0
479.0,18178.0,986.0,179.0,60.0,1342.0
2035.0,62073.0,3523.0,632.0,170.0,5087.0
129.0,4910.0,223.0,34.0,14.0,332.0
838.0,25143.0,1474.0,286.0,49.0,2068.0
112.0,3449.0,258.0,31.0,20.0,358.0
1199.0,36329.0,2530.0,416.0,95.0,3393.0
2744.0,99694.0,6714.0,1294.0,204.0,8337.0
154.0,9653.0,511.0,70.0,39.0,630.0
93.0,2752.0,187.0,31.0,17.0,265.0
1068.0,34135.0,1698.0,350.0,54.0,2467.0
774.0,28795.0,1758.0,333.0,100.0,2294.0
399.0,10966.0,1031.0,150.0,20.0,1299.0
666.0,25295.0,1275.0,217.0,83.0,1797.0
60.0,2274.0,135.0,21.0,0.0,177.0
