Year,State,Sex,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
2021,Oregon,Female,1841.0,20815.0,1380.0,796.0,0.0,2429.0
2021,Oregon,Male,2349.0,24211.0,1856.0,1096.0,0.0,3111.0
2021,Pennsylvania,Female,9325.0,75040.0,7286.0,4529.0,29.0,12106.0
2021,Pennsylvania,Male,11221.0,81194.0,9082.0,5941.0,19.0,14376.0
2021,Rhode Island,Female,581.0,5807.0,470.0,268.0,0.0,786.0
2021,Rhode Island,Male,636.0,5824.0,566.0,340.0,0.0,863.0
2021,South Carolina,Female,4237.0,29954.0,2877.0,1691.0,0.0,5427.0
2021,South Carolina,Male,5260.0,34331.0,3647.0,2221.0,0.0,6694.0
2021,South Dakota,Female,431.0,4386.0,487.0,241.0,0.0,681.0
2021,South Dakota,Male,556.0,5021.0,599.0,322.0,0.0,835.0
2021,Tennessee,Female,6232.0,44683.0,5531.0,3375.0,35.0,8417.0
2021,Tennessee,Male,7473.0,50506.0,6818.0,4339.0,41.0,9984.0
2021,Texas,Female,20481.0,124821.0,17582.0,12055.0,77.0,26062.0
2021,Texas,Male,28306.0,146669.0,23806.0,17097.0,87.0,35076.0
2021,Utah,Female,1014.0,10932.0,885.0,499.0,0.0,1402.0
2021,Utah,Male,1657.0,12585.0,1392.0,938.0,0.0,2112.0
2021,Vermont,Female,147.0,3127.0,168.0,52.0,0.0,263.0
2021,Vermont,Male,165.0,3521.0,224.0,80.0,0.0,310.0
2021,Virginia,Female,4533.0,40841.0,3474.0,2098.0,10.0,5918.0
2021,Virginia,Male,5135.0,44207.0,4134.0,2501.0,14.0,6778.0
2021,Washington,Female,2528.0,32039.0,2772.0,1644.0,0.0,3658.0
2021,Washington,Male,3637.0,36657.0,4051.0,2570.0,0.0,5120.0
2021,West Virginia,Female,1738.0,13464.0,1675.0,952.0,0.0,2461.0
2021,West Virginia,Male,2200.0,15340.0,2190.0,1309.0,0.0,3081.0
2021,Wisconsin,Female,2671.0,28843.0,2037.0,1029.0,0.0,3682.0
2021,Wisconsin,Male,3405.0,31964.0,2638.0,1443.0,0.0,4605.0
2021,Wyoming,Female,418.0,2721.0,365.0,246.0,0.0,538.0
2021,Wyoming,Male,545.0,3241.0,443.0,336.0,0.0,653.0
